"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","94","Negative: Credentials as query params instead of form data","api","Sat Jul 04 17:35:03 UTC 2026","passed","Sat Jul 04 17:35:04 UTC 2026","/verifyLogin endpoint tests","api/verify-login.spec.ts","",""
"","85","Negative: Invalid email format","api","Sat Jul 04 17:34:56 UTC 2026","passed","Sat Jul 04 17:34:56 UTC 2026","/createAccount endpoint tests","api/create-account.spec.ts","",""
"","102","Negative: Create account without firstname + lastname should return 400","api","Sat Jul 04 17:34:56 UTC 2026","passed","Sat Jul 04 17:34:56 UTC 2026","/createAccount endpoint tests","api/create-account.spec.ts","",""
"","83","Negative: Wrong param name instead of search_product","api","Sat Jul 04 17:35:00 UTC 2026","passed","Sat Jul 04 17:35:00 UTC 2026","/searchProduct endpoint tests","api/search-product.spec.ts","",""
"","285","API 14: Birth fields are returned correctly","api","Sat Jul 04 17:34:58 UTC 2026","passed","Sat Jul 04 17:34:58 UTC 2026","/getUserDetailByEmail endpoint tests","api/get-user-detail.spec.ts","",""
"","618","API 3: DELETE To All Brands List should return 405","api","Sat Jul 04 17:34:54 UTC 2026","passed","Sat Jul 04 17:34:55 UTC 2026","/brandsList endpoint tests","api/brands-list.spec.ts","",""
"","89","Negative: Credentials as query params instead of form data","api","Sat Jul 04 17:34:58 UTC 2026","passed","Sat Jul 04 17:34:58 UTC 2026","/deleteAccount endpoint tests","api/delete-account.spec.ts","",""
"","89","Negative: GET method on searchProduct should return 405","api","Sat Jul 04 17:35:00 UTC 2026","passed","Sat Jul 04 17:35:00 UTC 2026","/searchProduct endpoint tests","api/search-product.spec.ts","",""
"","630","API 3: POST To All Brands List should return 405","api","Sat Jul 04 17:34:54 UTC 2026","passed","Sat Jul 04 17:34:55 UTC 2026","/brandsList endpoint tests","api/brands-list.spec.ts","",""
"","103","Negative: Update with no params should return 400","api","Sat Jul 04 17:35:01 UTC 2026","passed","Sat Jul 04 17:35:01 UTC 2026","/updateAccount endpoint tests","api/update-account.spec.ts","",""
"","109","Negative: Very long string as email","api","Sat Jul 04 17:35:03 UTC 2026","passed","Sat Jul 04 17:35:03 UTC 2026","/verifyLogin endpoint tests","api/verify-login.spec.ts","",""
"","91","API 6: POST To Search Product without search_product param should return 400","api","Sat Jul 04 17:35:00 UTC 2026","passed","Sat Jul 04 17:35:00 UTC 2026","/searchProduct endpoint tests","api/search-product.spec.ts","",""
"","100","API 7: POST To Verify Login with valid details should return 200","api","Sat Jul 04 17:35:02 UTC 2026","passed","Sat Jul 04 17:35:02 UTC 2026","/verifyLogin endpoint tests","api/verify-login.spec.ts","",""
"","94","Negative: Create account with name + password (no email) should return 400","api","Sat Jul 04 17:34:55 UTC 2026","passed","Sat Jul 04 17:34:55 UTC 2026","/createAccount endpoint tests","api/create-account.spec.ts","",""
"","98","Negative: Numeric path param on searchProduct","api","Sat Jul 04 17:35:00 UTC 2026","passed","Sat Jul 04 17:35:00 UTC 2026","/searchProduct endpoint tests","api/search-product.spec.ts","",""
"","100","Negative: Very long string as search_product param","api","Sat Jul 04 17:35:00 UTC 2026","passed","Sat Jul 04 17:35:00 UTC 2026","/searchProduct endpoint tests","api/search-product.spec.ts","",""
